timestamp,bytes_transferred,packet_count,connection_duration,source_port,destination_port,retransmission_rate,protocol,bytes_per_packet,packets_per_second
2025-11-29T18:29:30,76063,454,5.025402,7790,53496,0.0,DATA,167.53964757709252,90.34103142395375
2025-11-29T18:29:30,66,1,1.0,57687,443,0.0,TCP,66.0,1.0
2025-11-29T18:29:30,66,1,1.0,57688,443,0.0,TCP,66.0,1.0
2025-11-29T18:29:30,3095,8,4.067639,53496,7790,0.0,DATA,386.875,1.966742869758108
2025-11-29T18:29:30,770,5,4.181989,7790,53496,0.0,WG,154.0,1.1956033361159009
2025-11-29T18:29:30,3133,3,3.994905,57690,443,0.0,TLS,1044.3333333333333,0.75095653088121
2025-11-29T18:29:30,66,1,1.0,57689,443,0.0,TCP,66.0,1.0
2025-11-29T18:29:30,884,4,3.994234,443,57690,0.0,TLS,221.0,1.001443580921899
2025-11-29T18:29:30,182,3,3.994243,57690,443,0.0,TCP,60.666666666666664,0.7510809933196353
2025-11-29T18:29:30,198,3,3.002491,65148,443,0.0,TCP,66.0,0.9991703555481098
2025-11-29T18:29:30,1760,8,1.06883,9993,9993,0.0,DATA,220.0,7.484819849742242
2025-11-29T18:29:30,66,1,1.0,57694,443,0.0,TCP,66.0,1.0
2025-11-29T18:29:30,66,1,1.0,57695,443,0.0,TCP,66.0,1.0
2025-11-29T18:29:30,480,6,0.415694,5353,5353,0.0,MDNS,80.0,14.433694015309339
2025-11-29T18:29:30,4437,28,1.92282,54124,9993,0.0,DATA,158.46428571428572,14.561945475915582
2025-11-29T18:29:30,600,6,0.415555,5353,5353,0.0,MDNS,100.0,14.438521976633659
2025-11-29T18:29:30,7593,37,0.414288,9993,54124,0.0,DATA,205.21621621621622,89.30985208357471
2025-11-29T18:29:30,228,2,0.000476,5353,5353,0.0,MDNS,114.0,4201.680672268907
2025-11-29T18:29:30,85,1,1.0,59231,53,0.0,DNS,85.0,1.0
2025-11-29T18:29:30,208,1,1.0,53,59231,0.0,DNS,208.0,1.0
2025-11-29T18:29:30,348,6,0.130323,65150,443,0.0,TCP,58.0,46.03945581363229
2025-11-29T18:29:30,4830,8,0.0429,443,65150,0.0,TCP,603.75,186.4801864801865
2025-11-29T18:29:30,1122,3,0.03212,65150,443,0.0,TLS,374.0,93.3997509339975
2025-11-29T18:29:30,3313,4,0.066809,443,65150,0.0,TLS,828.25,59.872172910835374
2025-11-29T18:29:30,408,4,0.409696,5353,5353,0.0,MDNS,102.0,9.76333671795673
2025-11-29T18:29:30,104,1,1.0,59232,53,0.0,DNS,104.0,1.0
2025-11-29T18:29:30,200,1,1.0,53,59232,0.0,DNS,200.0,1.0
2025-11-29T18:29:30,228,4,0.188385,65151,443,0.0,TCP,57.0,21.233113039785547
2025-11-29T18:29:30,120,2,0.035417,443,65151,0.0,TCP,60.0,56.47005675240704
2025-11-29T18:29:30,1913,3,0.077959,65151,443,0.0,TLS,637.6666666666666,38.48176605651689
2025-11-29T18:29:30,3512,4,0.078555,443,65151,0.0,TLS,878.0,50.91973776335052
2025-11-29T18:29:30,66,1,1.0,57696,443,0.0,TCP,66.0,1.0
2025-11-29T18:29:30,1460,4,0.004865,54124,21009,0.0,DATA,365.0,822.1993833504624
2025-11-29T18:29:30,276,3,1.500815,137,137,0.0,NBNS,92.0,1.9989139234349336
2025-11-29T18:29:30,94,1,1.0,49263,5355,0.0,LLMNR,94.0,1.0
2025-11-29T18:29:30,74,1,1.0,49263,5355,0.0,LLMNR,74.0,1.0
2025-11-29T18:29:30,94,1,1.0,53586,5355,0.0,LLMNR,94.0,1.0
2025-11-29T18:29:30,74,1,1.0,53586,5355,0.0,LLMNR,74.0,1.0
2025-11-29T18:29:30,198,3,3.001803,65153,4090,0.0,TCP,66.0,0.9993993609840485
2025-11-29T18:29:30,432,4,0.005371,9993,9993,0.0,DATA,108.0,744.7402718301993
2025-11-29T18:29:30,432,4,0.005453,21009,54124,0.0,DATA,108.0,733.5411699981661
2025-11-29T18:29:30,131,1,1.0,42961,59941,0.0,DATA,131.0,1.0
2025-11-29T18:29:30,60,1,1.0,59941,42961,0.0,TCP,60.0,1.0
2025-11-29T18:29:30,83,1,1.0,61001,53,0.0,DNS,83.0,1.0
2025-11-29T18:29:30,99,1,1.0,53,61001,0.0,DNS,99.0,1.0
2025-11-29T18:29:30,410,7,0.169846,65156,443,0.0,TCP,58.57142857142857,41.21380544728754
2025-11-29T18:29:30,55,1,1.0,57758,59948,0.0,DATA,55.0,1.0
