bytes_transferred,packet_count,connection_duration,source_port,destination_port,retransmission_rate,protocol,timestamp,bytes_per_packet,packets_per_second
377050.15809285466,226.7948985151213,23.909868674650827,35225,21,0.07697443749081655,FTP,2025-11-27 21:22:00,1434.9590556091098,7.997792100570811
509719.05469715875,1493.7670741965337,45.603857151929404,10002,8443,0.06974596483835448,HTTP,2025-11-27 21:23:00,325.3039189106045,36.86739492577534
547769.3207134445,1869.152745254371,32.792211967364885,17565,21,0.09995304163166273,FTP,2025-11-27 21:24:00,286.38239901098956,51.234903298709625
249801.32855457545,1139.4505601004355,49.28531086841845,7288,443,0.03080584953762449,TCP,2025-11-27 21:25:00,280.77309805857027,19.904427339064295
469709.8362654652,1090.550520756828,18.365985239219093,1308,443,0.08613010547058286,TCP,2025-11-27 21:26:00,436.37613563993057,48.45277560933118
403724.30449262075,593.109127990843,20.001106054395393,51234,80,0.01822559735664188,TCP,2025-11-27 21:27:00,491.5091165993225,31.889919286943424
418659.1196823229,999.9580969227904,22.157999504505224,52727,8443,0.019373049079458683,HTTPS,2025-11-27 21:28:00,424.2577589685889,48.947699589776825
536561.0967198072,454.834210546007,35.67426405932766,65374,80,0.03748100239395271,HTTP,2025-11-27 21:29:00,985.3830359317166,15.18958879248803
430714.99457140267,922.6973029812459,48.11672097194139,59408,443,0.0897789939402279,HTTPS,2025-11-27 21:30:00,451.92352058123186,15.738627034427262
527099.6649253974,924.6153757357233,41.96443505475803,59670,443,0.012244968426204303,TCP,2025-11-27 21:31:00,630.7454906901713,22.61683451821921
446721.56149153924,799.6069734091041,8.053801727484306,49854,443,0.014685732554032811,TCP,2025-11-27 21:32:00,571.8116588063154,93.97888305702661
404127.3226369762,894.0504149628057,33.95980246558712,17619,443,0.0034120700674119342,HTTPS,2025-11-27 21:33:00,464.17110844431465,27.539489076890202
398782.1828802468,912.1204723665455,26.02133139517943,48075,5432,0.039679623516858394,TCP,2025-11-27 21:34:00,544.1017537248196,33.594092609875446
583920.788040005,605.1848271570555,31.27848401999275,46306,21,0.08660500389719532,FTP,2025-11-27 21:35:00,869.9103024010674,16.494655162249963
424365.9953141995,938.0191928076894,13.309056346820583,21559,22,0.03996821826187722,SSH,2025-11-27 21:36:00,472.9864549245484,91.03290691213634
644905.087765813,668.5266077790803,55.00451343064004,26894,443,0.01313531479581177,HTTPS,2025-11-27 21:37:00,1108.0561982510758,14.304476621550215
423636.4322624046,1217.0484619019285,9.781607904284035,55517,443,0.06568957986389917,HTTPS,2025-11-27 21:38:00,332.60978522105927,142.6731097599989
346663.1087788492,1068.9508639823705,32.10271497500503,1666,22,0.02238253196723112,SSH,2025-11-27 21:39:00,293.3755387098489,35.24638722102399
426166.8104892067,725.4816637642924,48.47371936148926,40418,22,0.04098498146137457,SSH,2025-11-27 21:40:00,556.1306328077649,14.1135239877918
708459.4733449608,1330.428619597651,14.891172393067196,46070,443,0.059978942832185175,TCP,2025-11-27 21:41:00,589.3392899263006,96.09918371661122
591175.284486262,733.2887260635808,49.1576281377512,36579,80,0.021223484437474457,HTTP,2025-11-27 21:42:00,802.703079218536,15.027305000856854
512054.5849855525,72.84745796987681,16.18291362326805,50601,80,0.041919261518362075,HTTP,2025-11-27 21:43:00,-6369.395152423515,-4.958398391791193
353420.29327067744,798.4015053014679,26.269085531307958,4050,443,0.10480009373372406,TCP,2025-11-27 21:44:00,429.3424447851055,33.856389703126545
